x,ytrain,yans
18588,27233.5,25193.4
6422,35281.1,34870
24946,102009,105387
27506,77960.3,78474.7
13030,102431,102550
16413,26542.7,21999.1
29168,126742,127121
900,-8050.35,-8142.44
32591,56255.5,57360.2
18762,121024,118074
1655,-16981.9,-16532.8
17410,71531.5,73286
6359,-1134.44,163.316
27624,55755,51496.1
20537,115605,115989
21548,69142.3,71255.8
6483,80639.2,79894.4
27595,47270.8,41825.7
4041,79337.7,75884.7
3602,74809.2,70835.8
24350,33164.7,35713
10291,12737.6,9690.65
30836,50901.7,47400.2
9374,92044.1,92290.6
11020,9836.59,10103.9
4596,10777.2,10965.1
24021,42103,43809
27348,113631,112279
23199,59497.9,61009.3
19668,30051.8,27201.5
24484,115577,117083
8281,88794.3,83323.4
4734,83513.9,86316.7
53,58483.1,57744.6
1999,-11918.2,-10904.9
26418,85690.4,83035.8
27938,39686.3,42049.5
6900,90563.6,91308.6
3788,-603.87,558.661
18127,74307.8,77056.7
467,38704.6,42560.8
3728,44599.7,43016.5
14893,61871.2,65958
24648,53413.5,57162.4
22483,55640.4,56830.4
17807,44501.2,45444.7
2421,-8514.33,-4925.16
14310,26181.6,30399
6617,47057.9,44193.8
22813,79098.7,80791.2
9514,39114.3,37806.5
14309,28948.3,29830.1
7616,94001.7,93850.1
18935,29879.4,26483.1
17451,39894.6,42086.2
20600,111046,113151
5249,-3666.8,-2486.08
16519,72467.8,70762
31556,47264.8,48588
22798,92697.2,92695.8
30303,135743,136082
6224,66186.6,68635.1
11008,11223.4,11926.5
5844,77107.5,79747.8
32609,55275.7,51260.7
14989,16059.2,18301.3
32702,85598.5,85527
3195,33416.5,35526.2
20485,88289.5,83022.4
3093,-14608,-10170
14343,51821.9,53598.1
30523,67497,67811.1
1587,19702.4,19123.3
29314,73523.9,75276.6
9503,53494.7,46419
7448,-1511.69,5283.04
25200,124629,116122
13458,55479.3,59010.6
6618,41075.7,43388.4
20580,120104,119915
19796,111818,104115
14798,107660,110144
15281,47088.4,44797
19589,58676.4,62125.5
20798,44124.9,47657.7
28009,69708.5,67845.8
27157,69506.6,69363.7
20472,75468.5,72526.3
23622,30620.8,34323.6
18538,41633,39775.1
12292,102232,104999
6038,16008,16374.8
24179,128600,126544
18190,29921.9,32764.5
29657,90457.5,89319.9
7958,91845.2,95199.7
6191,78570.9,86329.6
19815,108969,113881
22888,35102,34988.3
19156,116713,112254
11511,87015.2,84572.5
16202,97102.3,100807
2634,48802.4,50029.7
24272,66888.8,68196.7
20055,36163.8,34057.3
20328,51773.6,49455.6
22646,88376.4,87711.7
26362,118362,122373
4886,-2627.49,-2816.25
18875,59398.8,56161
28433,116004,117407
29869,119856,117195
20142,93647.5,95386.4
23844,113112,117007
1416,44369.6,44455.2
21881,50716,51589.3
31998,98268.8,97224.6
10322,6648.74,10407.5
18651,54215,52737.5
10021,45666.2,42834.9
5699,29752.6,30557.9
3557,39721.5,38408.3
28476,134900,134722
27892,60885.3,60081.7
24389,45595.8,48608.4
5075,93362.4,87192.2
10712,29009.9,23985.2
2600,70160.1,71248.4
2510,57329.1,59507.8
21003,87988.7,85559.8
26869,37371.7,39999.7
17861,25257.7,23873.6
14688,41539.6,42888
13401,97744.3,98808.3
9789,98024.7,95856.5
15255,67617.2,65060.3
16423,24545.7,21033.5
5002,44909.9,46988.5
10585,53683.8,47264.6
24182,135949,125901
10285,10376.3,11095.6
27088,118098,120496
31426,112726,116336
28617,56620.1,58185.3
23757,109923,111844
9832,73694.2,71727.5
30932,111242,106593
4169,-3710.53,-5742.84
2154,61713.8,60598.7
25721,59199.4,63947.6
17189,35091.1,35485
19976,44321.2,43646.5
31329,129352,131192
2368,-11993.8,-11969.2
28692,48471,48023.7
21425,41414.3,41188.2
10555,73908.2,71094.5
3434,-1462.49,-3352.78
16549,91449.5,93501.4
7441,5673.43,3376.91
9512,38634.1,39340.3
30145,58935.7,56242.4
18060,113900,115241
21718,86929.6,90765.3
3753,26656.6,23132.1
16139,54348.6,54018.2
12423,23126.3,24843.4
16279,110193,105487
25996,124312,124456
16687,72934.8,74309.1
12529,30943.4,39186.7
22549,30925.2,32472.1
17437,56001,51938.8
19866,117702,117108
12949,84405.1,86292.9
193,-15932.6,-22614.5
23195,65450.3,64001.3
3297,77624.9,81218
20416,32049.9,35129
28286,45200,44817.6
16105,36574.4,31226.9
24488,115600,119126
16282,101760,104084
12455,17066.9,13710.9
25734,57590.6,55120.7
18114,87887.8,87189.7
11701,22789,24411
31316,122924,124082
20671,68135.9,62548
5786,87970.6,87389.3
12263,96793.1,101908
4313,67637.7,67786.1
24355,32953.7,36249.1
31185,44279.6,47126.3
20053,36031.4,33269.6
912,-21728.7,-14152.9
10808,90537.5,92811.2
1832,73420.2,75123.1
20945,119799,119364
4313,67722.1,67786.1
27756,136266,133506
28321,42138.6,44144.2
19558,89793.8,86827.9
23646,32866.4,37378.6
27982,50265.2,51106.6
481,32348,32171.2
4144,-962.997,3749.8
23196,65859.2,63245.5
20222,114987,118815
7129,26794.4,26818.2
2161,64418.3,64800.9
5535,42717.4,42874.2
20450,56705.3,55327.2
11173,93837.5,95900.9
10466,95851.7,98861
12044,34181,36012.9
21659,124296,122072
26292,122970,124103
26439,58961.9,66648.1
17253,78838.3,83261.7
20024,28426.8,27800.7
26154,42203.5,39232.5
29510,114381,117263
4745,84928.4,84125.7
20649,84917.8,80125.3
13186,12763.5,14538.8
8313,98583.1,95394.7
4474,27485,24669.3
28022,78438.4,77757.5
2168,71628.4,68506
14018,86004.2,80682.3
18787,113835,114811
9905,16076.7,18286.7
17958,73972.2,72707.3
7391,15557.6,9379.71
10202,65422.8,64881.2
3625,79446.9,80568.5
26477,40481,44643.2
4414,69031.2,69973.5
9314,48367.8,51620.3
25824,44528,48419.4
29334,64074.6,61233.1
25874,82559.8,83708.9
24372,42041.7,40624.5
20159,108552,106571
11833,58219.4,56408.2
28070,112706,114844
7487,24639.4,26281.5
28297,39378.6,42761.6
7518,51696.9,50539.9
8177,12004.2,10437.8
17773,69972,71554.9
32270,43111.9,49085.4
1763,39729.8,36087.3
2668,23716.5,23131.6
17192,36161.2,37221
13985,53656.7,54461.3
3102,-11842.9,-11086.4
8480,668.284,8469.2
29213,139883,136081
7627,89260.7,91354.7
4802,52013.7,51175.1
4099,36158.6,35347.9
30527,70185.6,70618.8
2625,55091.9,56557.6
1543,51948.6,53086.6
1924,39521.8,39244.5
11023,14287.3,9962.24
29972,125185,123065
13061,86943.6,86529.2
14181,59216.4,58066.5
31003,138893,139479
27432,129529,128479
17505,20911,23084.3
27593,40504.8,41569.5
22725,126807,125355
13031,101164,102203
8492,9379.73,5343.56
142,10532.2,9791.49
17222,60533.3,58457.8
31286,102488,102471
13064,85816.4,84489.3
7900,65877.9,68645.5
19187,95090.8,94347.1
8360,88351.2,88140.9
22413,109390,109469
30974,137322,132838
14270,16641,16923.1
29170,131135,128076
235,-27305.6,-28109.6
30833,49195,46995.1
19711,41949.8,41364.9
25760,39615.5,42328.2
18896,38366.2,41646.8
4667,68618.8,64900.6
7285,75407.1,83030
12550,52254.9,55506.2
140,12010,11344.3
13694,105257,101638
2695,927.356,3873.99
21624,121472,120306
28019,75232.5,75403.6
2125,38020.7,39355.4
26576,68102.4,70635.9
21694,107760,107575
22658,99540.9,96997.8
26302,130047,127913
17371,99001.7,101363
22466,67898.8,69713.9
4678,65341.1,71981.4
22593,42209.5,47767.8
23851,114779,113198
25484,57035.9,59978
1018,10371.7,11896.8
28464,129339,132194
21119,29916.9,31166.5
23152,96128.5,97881.5
2800,4982.34,7485.49
18087,103538,104969
31060,118516,119845
1926,37402.3,37660.8
9010,94041.7,89682
4757,79043,79915
32170,97710.1,99131
20315,58030.2,58821.7
9576,5000.23,7264.35
30227,118353,116434
12043,40670.2,36721.6
22758,119069,117939
7164,54212.6,54471.1
5109,91816.2,83989.4
7882,55512.6,54664.2
17086,40875.6,44759.6
29565,134991,137120
3487,-3862.45,-6414.92
29577,142474,136128
14474,107609,104031
2625,56242.3,56557.6
25627,125637,127064
5629,1904.96,-3091.21
31928,46936.6,52030.7
25423,34505,37431
28520,127850,126990
6902,82186.5,90867.9
14962,19105.8,21819.7
123,24644.8,24515.4
24596,97824.9,97398.5
3737,33541.8,35781.7
13261,55071.1,49814.7
10195,72517.9,70290.5
32525,100506,103720
1264,-7715.88,-7988.78
8260,69486.5,69522.1
6202,85375.2,81717.9
8116,6630.23,9059.78
5030,69525.4,68003.3
20326,53106.1,50823.7
29011,43955.9,44888.4
30771,68765.1,65548.8
6411,21724.5,26416.8
25547,104888,108511
21153,43039.3,45182.6
21520,54941,50273.4
29790,56893.3,58382.4
14924,42497.6,41935.7
30188,82814.8,86163.8
21763,54206.2,55541.4
4940,-55.5598,3198.63
20851,87436.8,88415.4
18662,60944.8,61182
13829,49902.8,50984.5
30900,80656.5,80997.6
17713,107999,110739
18958,29550,27008.4
17578,55806.8,56012.6
8365,88448,85692
13007,109351,106815
11477,62645.7,58877.5
1200,41093.8,38597.4
26058,80465.1,82417.7
6439,48224.3,48572.1
2303,28581.9,25625.7
12760,38660,40404.6
19357,47210.4,44371
2324,9024.89,9696.8
6477,75020.9,76448.5
5108,84889.8,84309
21113,28471.4,30230.5
14887,70061.9,70778.2
19801,105469,107057
22850,56274,52658.8
14460,107437,108234
22428,99140.8,99526.4
12993,111294,105800
27384,130202,130367
19405,83537.7,81036.7
6540,89780.5,90369.7
31111,78712,80576.8
28704,52780.7,53319.4
12835,17521.6,14506.4
32356,95024.3,96194.6
6072,38654.7,41930.3
29350,51744.2,52461.9
18823,98712.9,96470.2
14485,92003.9,99022
20556,120540,120878
23216,48562.8,49484.9
1626,-6121.32,-7056.05
9357,82699.9,83537.1
8526,1710.42,7314.22
13357,104808,107115
29337,56953.2,59393.1
23271,30395.3,33894.1
23869,104307,101353
29361,42549.6,48105.2
12896,43062,45181.7
13022,108054,104850
29617,117925,119400
10112,95902.1,99405.6
12717,78383.7,74219.4
18696,91027,88277.3
11585,101619,101042
24041,57446.5,55420.2
24423,77137.9,72366.7
24129,120951,118979
24229,100435,101985
4565,-3027.03,-3511.91
6559,78519.3,84076.6
8932,32463.6,33431.3
22296,96768.1,94852.7
29855,107329,107107
12053,29999.1,29968.1
16962,111323,114664
3584,59951.8,59349.5
29734,46773.4,45572
6654,19020.4,16744.5
16972,115170,114402
21457,27154.9,30853.4
14369,78326.3,74496.3
22532,36129.1,33517.7
2963,67441.7,71197.6
2607,73506.1,67753.9
2483,36407.6,39267.8
911,-10526.8,-13713.6
11635,71684.5,73454.1
10067,82608.9,78706.8
22848,56856.1,53996.3
4675,69776.9,70155.3
12938,79074.7,78463.1
2223,80107.7,75807.4
22142,39249.3,44084.6
23754,114559,109993
6511,90413.8,90495.2
22741,126354,123589
20175,113810,114542
21459,28226.2,30659.7
17825,31714.4,34535.9
3221,53882.2,55933.8
17870,25826.7,23953.6
1626,-5499.49,-7056.05
31934,58171.4,54166.4
15205,100421,100460
31783,111750,119013
23850,114038,113773
17398,82474.7,82772.9
22279,76457.7,81447.5
22701,121367,121304
12193,59376.4,57174.7
12734,58059.4,60743.7
1637,-6215.76,-11903.2
26534,43524.7,45122.5
5556,27126.9,26326.1
1993,-6675.16,-8580.53
10176,85125.9,83561.3
25705,74857.2,76187.9
6962,56320.4,57131.7
10548,79817.1,76267.6
15881,110582,112518
300,7458.42,6632.86
14413,100882,102674
16641,106142,105260
19855,117405,119461
24855,124900,122889
13142,24615.6,26891.6
11462,46289.3,46803.4
27611,45887.5,45837.6
30877,65669.8,64424.1
20424,33707.6,38851.5
32678,70155.6,68024.6
1752,30406.4,27159
18443,106661,107718
28296,39099.3,42879.5
12673,99386.6,100723
10040,56851.4,58127.6
9313,52219.3,50809.5
875,5736.47,8593.73
20072,39540.1,42615.8
12818,14716.9,14113
610,-17647.6,-19737.6
1017,8285.59,11118.7
14932,34308.9,36529.3
28112,131685,133491
30695,121700,122449
13169,14642.1,16292.4
23831,123030,122621
20040,31209.8,29401.1
26488,35090.2,41261.8
28685,42884.3,45756.3
19090,111263,110367
19497,120722,118492
2589,79411.6,75579
25990,130245,126723
15145,110665,108385
19353,42782.1,41885.9
19314,32208.5,27053.3
18651,57302.9,52737.5
26740,112406,112591
22044,114073,113814
11258,85968.7,84677.7
335,34379.3,34995.4
8759,61871.6,63906.3
11192,106279,101797
7605,94313,94673.9
25264,125883,127286
12181,42398.4,47555.7
28503,133943,133072
3829,-15370.3,-8524.82
23775,118174,121000
20608,109827,109097
29292,91689.8,92752.5
5997,-1246.67,-1175.83
17549,33938.1,36172.1
29556,135618,136533
25561,123460,117314
31627,79713.8,87740.6
6467,71038.5,69970.8
29541,136623,133071
26129,40651.1,40416.1
31240,69555.4,66973.6
27813,119337,118845
29174,130316,129844
20601,115277,112683
6077,48052.1,45986.4
20215,124810,120122
8683,98992.1,97264.2
8213,32810.6,32464.2
23992,37578.9,35255.1
25824,49091.8,48419.4
5601,-1822.75,724.378
23392,110266,108081
15759,43104.4,38810.5
2670,18084.6,21570
26428,72029.5,75053.7
28027,84714.2,81740.9
4084,53058.8,47374.7
10075,87524.9,83955.4
18786,116804,115106
15498,106858,106827
24970,89481.2,87001.4
6287,26645.7,20379.7
23847,110608,115437
32604,58341.1,52535.7
503,18959,14748.6
21221,100980,96627.8
22663,99211.7,100656
5706,34036.7,36101.3
2363,-10612.6,-10640.5
9010,85818.7,89682
22171,33404,33062
27489,93240.1,92132.1
18240,31918.6,26054.5
12164,33864.9,34863.5
25542,98856.7,104984
7619,92319.1,93332.5
20913,118162,121086
7591,96860.5,93262.2
6704,-2974.01,-296.277
31818,92648.7,92089.3
9232,4724.34,6244.71
750,65736.5,68239.5
25205,118191,118863
4975,31715,25412.2
1539,55579.7,55747.2
303,8468.24,9038.16
11422,15757.3,20132.5
21098,29470.8,30098.7
11247,88481.2,91202.9
13584,25594.2,25677.1
13648,69230.1,72245.6
2971,64126.3,66901.3
17864,19665.1,23773.3
22913,30932.7,33457.1
11075,23067.2,26599.8
21545,69089.2,68850.9
28712,55473.5,57741.6
17546,35912.4,34527.4
18678,74908,74061.6
1769,41240.7,40877.9
15262,61011.5,59426.6
8519,6398.17,5596.25
13985,53962.4,54461.3
28289,46802.9,44092.9
15944,89899.9,90283.1
2865,59958.1,57482.9
18540,32737.1,38615.2
23245,34854.4,36390.7
25508,78450.2,78238.7
28318,41510.5,43532
27870,79534.6,75940.1
9601,9367.99,8545.61
28323,47100.4,44620.4
21132,37496.5,34863.6
24472,108795,109976
27152,76516.3,73166.1
25087,43964.5,40193.3
28570,92998.3,93154.5
29763,46282.1,47034.6
29901,134306,133671
17103,36298.4,34221
14423,107213,106362
3527,15723.8,14932.9
11600,96580.7,95488.8
26969,97027.5,97605.2
14015,83898.7,78418.9
5565,16696.3,19787.9
28,54800.8,54085.3
21543,67217,67259.5
25347,74565.2,73981.4
2088,11549.5,10106.6
2943,84536.8,78678.6
12637,100539,105619
22409,111037,111788
26463,52833.1,51098.7
5049,73111.4,78969.6
4681,74494.8,73720.9
1588,16936.9,18338.9
11342,24040.5,23079.6
608,-23427.1,-20414.2
32060,133510,136903
21221,91439.6,96627.8
1758,29407.6,32038.8
29954,126785,131960
20888,112423,112720
14146,89705.4,85305.8
690,34201.3,34970.5
7949,93210.1,93727.7
12843,15368.7,16086.9
21430,45614.3,38735.9
25620,134364,128847
748,68489.7,67777.4
27067,127756,129534
4536,-4641.2,-5824.29
20783,36147.1,39002.5
18035,115539,116067
32226,61446.7,59168.2
15185,105445,108466
7038,11227.4,5611.7
9853,56723.1,55285.8
25629,130160,126436
11224,98986.8,100530
15748,37534.7,32136.1
19923,85920.5,83587
3359,47165.4,48881.5
32257,48581.3,49340
24766,60487.7,60133.4
4944,4253,5156.98
14955,21491,24330.7
23318,52100,52172.8
32726,104245,104833
25411,39311.2,38759.4
21025,62123.5,67917.9
20355,29707.3,34610.5
31001,134783,139391
22549,27977.9,32472.1
9496,52881.8,52043.6
18584,20846.9,25129.6
9515,34470.7,37046.4
17964,80438.7,77542.7
23342,65161.9,69678.7
8075,29209.7,33641.8
17913,38057.6,39189.5
16142,57638.1,56372.9
31196,50035.1,47994.8
21948,108182,102862
25072,39394.8,37139.4
20426,41210.7,39894.8
14606,18498.1,19948.8
26173,46781.6,44117.6
24429,76998,77168
32404,131141,130440
6705,2230.94,-300.744
20626,102764,97705.6
29812,71307.4,73079.2
19375,57558.1,57084.7
30093,41685.3,46331.2
16565,104779,103119
16036,25687.6,26063.8
14736,79277.1,80629.5
29141,110228,110380
30814,46831.3,47365.8
5994,-915.677,-1626.09
8256,63123.9,66534.9
6652,18145.9,18013.9
23936,51729.1,50753.5
30838,48553.6,47739.6
20482,83714.1,80617.4
1355,-788.632,-2278.86
21015,77458.8,75946.8
1131,71435.4,72265
18230,27467.9,24633.5
17841,29332.5,27730.2
14625,19608.5,17461.4
2011,-11382.7,-14164
32637,52860.4,50521.3
4186,-3861.67,-7477.25
19690,27418.4,31519.1
1650,-14736,-15682.9
5662,9241.92,6218.97
21634,126574,122551
10893,88523.4,86999.3
10353,27209.9,23783.9
21416,48904.2,46269.2
13452,65901.4,63848.8
14008,71732.5,72979.5
7262,90790,91788.2
22233,48805.1,47125.5
5454,91164.6,88415.1
16303,97882.7,91672.5
16634,106683,108287
26303,133129,128224
14256,18698.4,17289.6
148,-2712.75,5178.25
11124,67347.1,63743.1
12317,101104,98356.9
4213,3897.82,-1974.89
27109,108483,106956
24028,51667.3,47419.9
29200,137525,136332
21080,31614,34063.5
21318,111817,115359
16858,52238.2,54635
24050,58068.3,61764.6
24155,128285,127173
31361,143527,139985
15264,55818.5,57828.7
11903,100289,101143
3676,78601.7,76916.5
29643,98050.4,100549
26909,60758,52958.3
14902,57227.4,58711.2
3561,39422.1,41648.6
28489,137028,135203
24948,101117,103962
1282,-18682.6,-15566.7
13653,72908.8,76151.5
30674,134769,133156
2220,74318.4,76483.5
5402,78050.4,76388
6923,86470.6,83123.6
3831,-8254.91,-8377.27
19369,49970.4,52608.7
3878,11207.3,9975.16
20259,104086,101807
19008,50876.5,51214.3
22619,68992.8,66048.1
23971,37334.3,36250.8
30003,95172.4,101148
21945,96906.4,100788
9781,98769.2,98049.3
26504,35153.2,39270.2
12392,43651.1,45667.9
32685,68148.5,72753.8
25313,99386.5,100917
6698,-1322.47,26.5386
5589,10483.5,5534.86
12722,67764.5,70334.2
5938,7858.34,12387.8
19037,73562,73923.6
6410,30147.4,25678.1
31461,88690.5,89083.4
6234,60319.7,61401.8
12508,25788.4,25565.9
9961,10361.2,9365.54
3959,73915.5,70319.3
6493,88060.7,84782.3
1515,66687.8,68514.6
25269,124036,125813
24937,108446,111435
28869,127497,131950
58,57275.8,57315
14700,57255.4,51956.3
13971,44780.4,43631.5
26264,105656,107655
15117,98975.7,95790.3
16215,105280,107073
24555,119719,122370
7815,3472.05,8719.97
18330,85851,82977.6
3039,11479.5,16112.7
30212,108703,105400
29288,97951.2,95968
28082,123070,122176
1954,20743.6,15453.5
16085,27182.3,23141.7
20710,39883.5,37430.7
24484,117891,117083
24774,63646.6,66006.5
8380,73839.5,76809.2
29815,75773.7,75341.4
25951,128939,129618
6541,95165.9,90156.2
18115,86571.4,86434
1679,-14324.4,-15740.1
17110,30444.5,30711.9
25898,103030,102666
23073,127001,124959
788,68957.8,66438.5
23977,34733.7,35335.4
18132,75443.1,73042
29956,130194,131155
28689,45730.1,46974.4
26113,45960.5,45636.1
10008,34510.3,32978.2
12941,84622.2,80677.1
15790,61728,62070.4
1723,6337.13,4885.31
21363,83385.3,86211.5
28,56438,54085.3
25184,103507,105793
24778,69955,69071.7
7200,85353.7,80081.7
5071,82469.3,86508
1885,66873.2,65719.6
21974,113951,117393
1071,52619.2,53033.3
11333,24123.7,28421.5
22867,37349.1,42751.1
26153,36581,39111.3
14295,29415.9,23004.8
32168,101659,100736
20825,71891.1,67547.8
9676,52239.8,54070.6
15629,57409.1,54587.4
28650,48372.8,44484.7
2598,69138.3,72145
3309,77550.3,78266.8
4693,79552.9,79721.7
4686,75209.4,76414.9
30080,47225.4,49639.8
10116,98783.3,100032
12249,101169,96402
26667,126735,129954
1528,61299.8,62342.5
26679,134527,131990
7864,40152.7,40130.1
29421,52720,53044.5
8405,55262.5,58336.4
8826,16211.7,15277.2
6816,66206.9,62935
7516,45940.4,48918.4
27726,124901,123696
28666,43626,42938.3
29087,66844.6,68218.9
27681,89253,92448.6
19964,49854.4,51560.7
1340,-9891.2,-10536.6
5686,23144.4,20828.6
6021,4724.5,6726.82
11662,53442.5,52015.2
14721,70998.9,68836.1
6064,35493.2,35491.6
29309,78444.7,79144.6
20415,35473.5,34716.8
17902,27014.9,33167.7
29873,120810,119819
17124,23778.4,25435.4
23941,42208.9,47829.5
32745,116592,119193
31762,130040,131430
28423,113843,110615
27531,59228.5,60120.1
4806,49953.8,48011.9
12268,102869,103268
9318,58661.3,54863.6
5602,-1526.81,404.659
31907,49378.5,48342.5
24307,47999.1,45288.1
23481,120022,117845
1012,6857.62,7298.46
21136,38671.7,36438.8
26630,112074,112396
24114,113965,110625
26809,58625.1,60215.8
4084,43841.2,47374.7
23556,60138.6,63881.1
12290,103630,105164
21293,123176,122337
29996,109459,106589
29152,117679,117973
1054,35289,40771.1
25345,72969.7,75565.8
14708,57873.1,58318.6
248,-25528.5,-24892.8
7491,24388.3,29198.6
13712,106165,107107
5131,69176.7,73910.2
30114,40176.9,45922.2
16439,21818.9,22412.1
7958,91691.5,95199.7
24722,35809.5,38209.7
29704,56114.1,56039.9
6995,32764.5,30942.5
1052,37907.5,39219.6
25269,126929,125813
7479,20407.6,20778.8
18238,30769.2,25659.6
26423,81411.9,79020.2
27918,46524.4,46722.7
10866,100319,99194.1
17659,110969,111368
32498,123569,123517
28486,137863,135303
21196,79664.5,77076.4
7462,10559.3,10965.4
26633,115141,114352
12158,35006.8,30829.5
12022,52934.5,52785.3
1146,68708.7,69534.7
18392,112830,116256
13037,97737.7,99864.5
3925,48662.4,46064.4
10647,10491.6,11374.9
29458,77469,77046.4
6602,57101.3,56196.1
30807,51501.8,48771.5
4098,33391.2,36151.9
27830,111306,107451
29292,92076,92752.5
14600,17855.9,21754.1
7278,91869,86377.8
20799,43973,48309.6
18352,101859,98914.2
20448,58024.7,53869.8
13882,24402.5,19644.9
540,-12242.4,-11186
28315,45474.6,43043.5
4575,-1370.3,-67.729
8762,59441.4,61564.6
9567,16708.3,8941.5
22336,119532,118849
18397,121553,117002
31418,118865,121744
19897,105553,102434
25828,51743.1,50548.1
13851,39910,35001.3
26816,54888.4,55738.6
24230,102420,101256
4449,41344.5,44523.4
16925,99239.2,103813
658,9593.25,9148.77
229,-27461.9,-28813.5
24520,128320,128339
10940,49081,52055.9
29560,130213,136934
15147,107012,108916
25162,88552.3,88934.9
1655,-15008.7,-16532.8
20675,58951.6,59479
792,65869,65103
22361,125270,124593
31754,132379,134937
16398,24831.2,26008.8
23146,98767.7,102230
8714,95877.6,91556.5
26946,83882,79105.6
21188,68013.6,70605.7
19569,75346.1,78143.5
8638,81812.9,82448
27663,77718.8,77939.4
15075,63648.9,64698.1
24515,122833,127802
11521,92524,90690.7
475,38898.7,36743.7
15615,62076.3,65770.9
20528,109890,112065
13234,33377.9,30567.9
12570,68844.9,71581.1
905,-9798.43,-10837.6
9464,77387.2,76645.8
19557,86236.1,87597.4
28962,66435.4,68735.4
14161,73145.6,74080.8
30524,73654,68502.3
12549,57427,54699.1
17469,33949.8,31867.8
330,24354.9,31068.1
31923,52821.9,50607.1
28350,54564.4,55968.9
14333,48784.6,45853.3
22925,35768.3,35821.3
10910,79286.1,75613.3
19737,61846.3,59283.1
16336,66741.3,66371.3
18337,86655.5,88356.6
1278,-10548.6,-14223
12393,39497.6,44898.7
7636,90087.3,88132.6
30714,111495,109301
28164,124591,124443
31591,66160.9,61941.1
19949,66405.9,62789.1
19135,121575,118129
2505,57295.3,56078
13337,107199,102100
10004,30577.3,30140.2
16337,66677.5,65564.8
2623,56032.5,57936.2
28664,45829.8,42935.1
9970,15388.6,11932.3
25608,134051,130341
30568,106398,102866
19281,30302.4,30429.7
7085,1400.73,3474.87
9152,34183.3,38507
18373,114717,110365
28652,41073.8,44096.6
8194,19639.6,19375.7
