x1,x2,x3,x4,x5,ytrain,yans
7882,17086,29565,3487,29577,116935,118966
14474,2625,25627,5629,31928,125164,124552
25423,28520,6902,14962,123,46544,42472.6
24596,3737,13261,10195,32525,74007.8,81366.8
1264,8260,6202,8116,5030,-999.852,-53.8781
20326,29011,30771,6411,25547,35771.8,36911.5
21153,21520,29790,14924,30188,57198.9,59024.5
21763,4940,20851,18662,13829,10462.1,6390.59
30900,17713,18958,17578,8365,110495,110436
13007,11477,1200,26058,6439,47715.2,43744.5
2303,12760,19357,2324,6477,40415.9,40689.6
5108,21113,14887,19801,22850,56382.6,57007.1
14460,22428,12993,27384,19405,110193,115029
6540,31111,28704,12835,32356,122449,121604
6072,29350,18823,14485,20556,91057.8,88702.1
23216,1626,9357,8526,13357,18994.2,19943
29337,23271,23869,29361,12896,16262.5,15201.1
13022,29617,10112,12717,18696,109179,109994
11585,24041,24423,24129,24229,58209.4,63532.7
4565,6559,8932,22296,29855,87718.5,87895.5
12053,16962,3584,29734,6654,31527.2,36138.9
16972,21457,14369,22532,2963,51668.1,51829.8
2607,2483,911,11635,10067,28527.2,27367.2
22848,4675,12938,2223,22142,28259.6,27872.2
23754,6511,22741,20175,21459,131961,127332
17825,3221,17870,1626,31934,28400.7,29564.8
15205,31783,23850,17398,22279,114161,113932
22701,12193,12734,1637,26534,69288.6,71223.4
5556,1993,10176,25705,6962,10972.9,16018.1
10548,15881,300,14413,16641,59723.2,62424.2
19855,24855,13142,11462,27611,96854.6,98005.7
30877,20424,32678,1752,18443,48939,50701.7
28296,12673,10040,9313,875,44203.4,44594.5
20072,12818,610,1017,14932,16939.7,24061.6
28112,30695,13169,23831,20040,131209,128179
26488,28685,19090,19497,2589,-6567.48,-3624.11
25990,15145,19353,19314,18651,98834.1,97438.9
26740,22044,11258,335,8759,75552.5,72027.4
11192,7605,25264,12181,28503,129856,134503
3829,23775,20608,29292,5997,47043.8,49876.7
17549,29556,25561,31627,6467,85755.1,87328.6
29541,26129,31240,27813,29174,109959,106776
20601,6077,20215,8683,8213,49331.1,44752.4
23992,25824,5601,23392,15759,896.509,4157.96
2670,26428,28027,4084,10075,57572.5,58757.7
18786,15498,24970,6287,23847,96491.5,102100
32604,503,21221,22663,5706,54904.2,52244.2
2363,9010,22171,27489,18240,51269.2,51342.9
12164,25542,7619,20913,7591,49606.9,48763.9
6704,31818,9232,750,25205,55299.8,56591.5
4975,1539,303,11422,21098,99065.5,99912.2
11247,13584,13648,2971,17864,33290.1,30344.6
22913,11075,21545,28712,17546,21739.2,22419.8
18678,1769,15262,8519,13985,72009.1,69968.9
28289,15944,2865,18540,23245,62511.4,62100.2
25508,28318,27870,9601,28323,74429.9,77807.3
21132,24472,27152,25087,28570,72148,72662.4
29763,29901,17103,14423,3527,50676.7,50795.2
11600,26969,14015,5565,28,30901.6,26358
21543,25347,2088,2943,12637,80697.9,81077.5
22409,26463,5049,4681,1588,33995.8,33903.7
11342,608,32060,21221,1758,2171.52,3276.28
29954,20888,14146,690,7949,65553.8,62604
12843,21430,25620,748,27067,54753,55202.2
4536,20783,18035,32226,15185,8941.63,10696.1
7038,9853,25629,11224,15748,66531.7,67829.4
19923,3359,32257,24766,4944,87756.8,83497.8
14955,23318,32726,25411,21025,23671.2,24054.7
20355,31001,22549,9496,18584,61408.3,63521.7
9515,17964,23342,8075,17913,25337.9,24593.1
16142,31196,21948,25072,20426,72571.1,67126
14606,26173,24429,32404,6705,10534.7,7081.68
20626,29812,19375,30093,16565,36547.2,32573.8
16036,14736,29141,30814,5994,24180.7,26729
8256,6652,23936,30838,20482,117036,113989
1355,21015,1131,18230,17841,82939.3,79437.8
14625,2011,32637,4186,19690,42137.3,42383.7
1650,5662,21634,10893,10353,5112.51,5379.79
21416,13452,14008,7262,22233,58472.3,58660.2
5454,16303,16634,26303,14256,116517,118223
148,11124,12317,4213,27109,21295.6,19943.7
24028,29200,21080,21318,16858,91422.5,92933.9
24050,24155,31361,15264,11903,111131,108280
3676,29643,26909,14902,3561,97788.2,99294.5
28489,24948,1282,13653,30674,119258,113787
2220,5402,6923,3831,19369,70981.7,73784.6
3878,20259,19008,22619,23971,113763,113025
30003,21945,9781,26504,12392,31244.2,32257.5
32685,25313,6698,5589,12722,93036.5,90381.9
5938,19037,6410,31461,6234,-8272.91,-5909.62
12508,9961,3959,6493,1515,4069.24,4814.23
25269,24937,28869,58,14700,106806,107968
13971,26264,15117,16215,24555,71674,74422.9
7815,18330,3039,30212,29288,35423.7,39279.8
28082,1954,16085,20710,24484,121973,120390
24774,8380,29815,25951,6541,113984,118071
18115,1679,17110,25898,23073,28286.3,32035.2
788,23977,18132,29956,28689,70233.8,71423.8
26113,10008,12941,15790,1723,-17603.9,-16660.3
21363,28,25184,24778,7200,62468.8,66058
5071,1885,21974,1071,11333,117958,122175
22867,26153,14295,32168,20825,14373.5,11509.4
9676,15629,28650,2598,3309,99399,101092
4693,4686,30080,10116,12249,112906,111598
26667,1528,26679,7864,29421,145422,146304
8405,8826,6816,7516,27726,41307.5,41155.9
28666,29087,27681,19964,1340,10097.8,6701.46
5686,6021,11662,14721,6064,26719.3,28910.9
29309,20415,17902,29873,17124,9083.5,11188.7
23941,32745,31762,28423,27531,49240.4,50421.2
4806,12268,9318,5602,31907,65361.2,63655.4
24307,23481,1012,21136,26630,58116.5,59439.6
24114,26809,4084,23556,12290,91333.8,91332.4
21293,29996,29152,1054,25345,127966,128305
14708,248,7491,13712,5131,33981.9,36430.5
30114,16439,7958,24722,29704,20732.9,21436.1
6995,1052,25269,7479,18238,27800.1,30440.4
26423,27918,10866,17659,32498,40126.7,36111.7
28486,21196,7462,26633,12158,53825.7,56067.8
12022,1146,18392,13037,3925,59798.9,59727.4
10647,29458,6602,30807,4098,-13903.8,-11794.1
27830,29292,14600,7278,20799,85032.4,79765.3
18352,20448,13882,540,28315,60776.3,65214.3
4575,8762,9567,22336,18397,80319.8,82096
31418,19897,25828,13851,26816,111081,111395
24230,4449,16925,658,229,51701.2,51122.1
24520,10940,29560,15147,25162,130782,132535
1655,20675,792,22361,31754,56612.5,49536.7
16398,23146,8714,26946,21188,57949,64743.7
19569,8638,27663,15075,24515,70789,62282.7
11521,475,15615,20528,13234,123427,126958
12570,905,9464,19557,28962,92456.9,94769.6
14161,30524,12549,17469,330,-6845.61,-7035.06
31923,28350,14333,22925,10910,21440.6,13737.3
19737,16336,18337,1278,12393,94395.7,96879.2
7636,30714,28164,31591,19949,123566,121274
19135,2505,13337,10004,16337,69767.7,73216.8
2623,28664,9970,25608,30568,37723.9,41256.7
19281,7085,9152,18373,28652,10163.7,8300.96
8194,9876,23826,28396,7572,83705.8,83562.8
6249,14640,29174,18819,943,14907.4,11965.2
32611,1941,20289,8419,5565,47589.7,51292.4
3805,7585,16216,31450,1615,37246.5,35388.6
2609,11064,9166,16893,16074,25105.7,27872.7
13509,30300,19695,9573,15589,64197,64563.8
13161,31172,17968,27358,26031,30961.6,28905.4
26268,19426,28510,10422,30774,108982,111824
8779,30910,23552,4182,25391,28453.3,27315.7
15495,5764,874,1364,14902,74680.1,78034.7
28255,4460,474,6972,26821,36950,44708.6
26122,25547,21577,9789,25605,34855.9,39767.3
30195,27594,7950,16343,754,35495.5,35381.8
2481,1012,11672,23439,13428,60608.9,56150.8
5912,9762,5967,24408,4415,41017.1,38574.4
1908,17223,11759,26434,5204,11407.1,15111.4
29486,4319,958,5945,26806,81712.2,82939.5
8166,18700,11367,17692,21787,40528.4,41836.3
28532,30556,30974,3447,5021,44571.6,42465.1
18283,26222,29331,2376,28583,65295.7,62977.7
26948,12723,17982,22018,14776,116669,116004
9220,31111,32182,23856,19490,73145.6,77155.9
8925,4324,6486,19677,15969,68477.4,68288.7
11643,7534,15677,22668,31068,48088.5,44850.8
21991,32196,7783,16828,7727,90737.3,92140.3
29426,15871,10697,17612,18703,80770.2,78109.5
11027,11408,5545,9508,7185,-8102.71,-6363.72
30238,24237,26443,21313,22501,140466,144361
8850,25128,2111,23650,28149,2280.06,2365.72
11192,1454,15869,681,27465,100856,101730
20267,17713,19793,18634,25472,100136,99092.2
20972,22830,24901,28442,5177,77501.6,81260.3
13877,25770,702,14364,1381,-13162.6,-14640
16590,8823,2237,8023,32179,91036.3,88205
16595,20169,2327,12042,31310,93361.9,94167.2
28182,11058,7926,9487,1670,2413.89,1100.66
32528,5651,2258,7213,9860,-5709.26,-5887.28
25783,21286,2742,8610,4472,40132.7,39329.1
7128,18434,5841,20718,3503,82186.8,85199.4
14867,24865,10938,1881,9257,60264.2,54093.9
22750,28614,18598,28458,2661,75303.4,70278.6
26063,32756,20807,20278,19489,45023.9,46112.3
19435,6365,32075,7586,1386,63567.8,65746.4
7833,8360,13330,26048,8928,95135.2,92706.3
29492,12433,23840,6766,1735,74085.7,76713.7
19810,11599,11837,21892,31982,139466,138082
7328,29352,11369,31244,21794,39532,40880.4
6608,9252,11647,17432,9535,4223.33,5287.29
7208,3264,3497,23243,27649,110896,108728
22015,26841,189,16100,19812,63195,60638.1
30648,9523,19851,24474,28633,115048,111536
29891,27200,19854,9990,25697,94795.7,96874.3
4919,17780,22578,12931,32544,93934.2,87514.9
3340,13487,899,22525,8483,57166.5,47118.7
5538,7492,6193,28252,25011,9076.53,9795.8
1560,15834,1840,31497,2785,17175.2,19573.3
18529,31540,18805,28791,13392,11869.9,15479.8
13210,13549,21578,26979,30971,45858.1,47423.3
9277,73,20193,1620,21497,102181,104102
13826,31276,19790,6582,13578,18041.5,16074.9
11159,20418,26489,159,3449,56803.6,52154.6
12924,9072,10380,27008,27967,130121,128088
10208,6477,18503,15370,32607,58964.2,57849.1
14196,12074,13722,12611,19019,23299.9,28048.1
28761,11056,12890,31163,16683,58959.5,59353.4
13716,19932,25452,2741,4954,111695,111020
6813,2862,10396,15460,20615,81477.2,83317
10904,2599,20136,4680,9198,85554,85578.6
27032,14387,32584,7240,3517,88468.2,88021
17006,8670,241,18882,25249,76574.2,76348.1
3523,31758,12105,29621,17095,107320,104506
7296,9916,15678,10178,13579,52464.8,50574.5
25058,27577,12750,14007,23729,20843.5,22895.5
24081,2995,2678,24676,27753,119808,117512
20899,11784,15565,3093,13608,57527,58233.2
6172,11243,29929,7514,10168,128743,126050
5055,11191,5973,8922,6748,93291.4,94632.3
5651,10986,2144,16446,31577,45051.8,48887.5
26517,14629,29916,5874,15791,38608,35083.5
15469,22912,8146,30693,9091,60813.7,60483.3
9815,26949,26857,20640,26052,54987.1,56704.2
236,8551,9487,31226,28162,23636.8,18930.5
16955,23183,8394,30180,16097,107069,107213
3065,27065,2513,9261,12578,44422.2,45796.5
21078,16878,14140,4611,31947,10534.4,18777.7
2445,170,29975,13489,24750,98843.1,100390
6149,3333,13865,22214,17282,131682,127620
27007,27432,8896,16367,28522,132238,131644
4882,31810,17641,7231,2187,42983.5,44871.3
6705,6479,6321,6538,31351,47564.3,40882.4
19447,24208,9646,22276,25759,134553,133104
30189,30422,27666,8486,3455,78879.7,82472.9
2028,29614,4860,29253,11777,61044.4,64123.6
31348,12503,10861,22431,29082,67865.9,67483.6
12455,14197,22106,8752,15821,62224.7,56877.2
17296,26281,26021,24455,15947,106150,109675
27124,18318,9135,11376,1774,-677.393,1646.06
29859,24998,12074,9253,6922,98735.6,95379.6
10635,1643,28888,8153,13232,33376.8,30906.9
4747,28680,19926,25678,6450,47571.7,46873.5
14801,24961,14199,20855,26363,123786,125408
5716,10573,31561,23245,6473,120229,121387
28274,1550,24353,1181,4287,60465.8,54878
2699,18110,18643,17465,7172,59644.4,59063.1
2529,9981,2112,13476,4381,35012.5,40127.4
8247,26890,16671,8805,32372,72865.7,73014.1
30032,3989,9320,23165,15431,44013,47308.4
9658,11293,17206,26578,16948,106292,109139
2206,27171,18166,3396,16697,95848.9,93087.2
31020,23694,15529,14788,30109,54127.5,61703.3
17984,11969,28978,21617,4015,129647,131921
16626,3684,9168,17906,25928,111106,112809
12097,28118,24390,15199,11785,65629.1,65193.4
14486,19199,12420,20710,18271,96235.3,96299.3
15813,27415,6085,318,3580,91862.2,89101.9
1331,7267,8387,13444,23186,81100.8,83106.5
14507,4360,17827,28074,26431,91481.6,88515.7
7152,30271,10268,4693,19885,94786.4,99298.7
337,31311,17604,12677,406,70444,71285.4
7768,29022,19413,5000,542,-4416.5,-4593.37
17537,30038,21388,7355,13289,67835.5,72548.3
31647,3181,13093,16584,10987,61380.3,58766.6
10761,20493,8217,9501,17482,65285.4,69113.7
29447,15665,10753,22104,15084,68082.4,68106.2
19095,13525,30221,3964,21781,98749.2,99131.7
4872,8106,3656,3343,22593,19229.7,19386.5
27080,16080,14868,21411,13713,42966.8,41588.6
20968,3251,27216,12079,28768,90965.2,93028.6
17040,31531,12933,23779,20663,31674.3,34683.6
12259,26653,27936,2095,24365,115601,117433
11874,7720,26835,25680,8976,118262,116037
18455,5725,4071,24808,13559,30945.4,32077.9
9156,5602,17832,7905,10440,11759.4,19445.6
7375,21562,22885,21962,21080,20730.3,25153.7
1836,10797,31202,10508,10080,100831,100205
5340,12076,9058,31493,7740,63966.4,60995.5
8546,20474,24773,19097,8880,40564.3,43445.7
23335,11072,23400,707,22955,52698.7,51896.1
20666,4141,23588,12481,17168,51427.4,46634.9
28315,19396,16225,1009,22012,20584,22359.3
18136,11455,18762,25043,742,522.187,-2666.24
21,17922,24512,9248,26018,81923.3,79107.7
27368,23717,9714,17650,13290,69031.6,68350.7
3335,12759,3169,21895,5303,55786.6,52664.3
22640,21979,24199,29105,24791,123561,118239
18661,8681,3652,8753,24033,95705.9,96681.9
32029,15987,7042,26253,20083,109703,111914
11420,15814,32718,12244,31063,73702.1,72437.3
7229,20652,18864,4769,30470,135037,128859
15005,21047,1594,21487,24326,52845.9,52304.3
3276,21323,6540,7679,23990,118741,119863
32588,24710,29271,17945,29221,27271.3,31433.5
28470,20183,23589,23955,4978,104215,105157
24779,5006,13262,20135,23487,64043.7,67296.2
27196,29033,2088,12935,19779,-6672.41,-2780.96
15993,14790,24962,18965,11001,61635.2,58793.7
19105,11807,24567,2669,3134,53534.7,54683.8
32671,1457,12998,3545,13597,69182.4,67765.2
14218,8838,14844,7372,8563,15664.5,13684
21028,29264,28801,14723,13490,82857.5,81046.2
7604,31601,24227,11197,23692,68573.7,70711.3
19771,20363,29301,22363,7721,87187.2,88829.2
3565,17421,23445,18610,495,97595.2,100978
16741,15022,31812,29151,23015,24886.4,23729.4
8055,3393,8738,15279,19882,55316.6,53750.2
1608,12654,3822,32707,24245,54925.6,56508.5
1338,144,22290,31339,23154,86173.4,92146.9
24604,4623,22225,20078,21724,35359,31716.4
31981,2330,29733,28223,20594,108287,107702
29130,18846,4987,29445,18805,113055,114115
8616,5750,20489,27338,21963,100189,100993
28135,14697,32209,21630,23224,77542.1,78298.6
1908,26737,24474,31920,27372,99184.9,106986
10293,3855,6734,9561,31056,10530.8,6728.88
27606,8184,7075,28382,14119,9544.53,11638.6
6741,30432,24684,12779,12279,60387.6,59549
18283,20667,30836,24125,24118,114219,113409
12737,18028,32119,20577,10737,69707.8,70141
14091,20556,22795,16060,21901,116043,117509
8793,3432,2136,4580,14875,11347.3,12485.3
5907,21184,28074,8719,26790,30080.9,29803.6
20476,30041,3351,8329,16290,90967.3,86642.2
22974,23072,3591,12189,15787,86043.7,83923.6
31490,3239,14893,3053,17063,29499.1,29084.6
10681,25903,27005,24176,18479,56172,55022.1
1695,6139,32468,13998,21083,87984.4,88570.7
23639,29515,27621,29993,15826,60955,59904.8
15722,23838,24828,12581,24399,95159.4,97332.7
8978,11891,1023,26943,24834,94691.3,95755.9
14243,7349,2702,8707,20502,43144,41692
25141,10687,8346,15891,24637,50617.5,51656.9
18413,11400,22816,31690,13162,68147.6,64111.5
8935,29126,19410,19877,11382,62799,62058.3
26260,27189,26705,13874,2663,89622.5,87547
20722,32195,22566,16360,6038,46875.9,46858.6
18588,7811,28245,9467,32425,36533.2,35206
26867,13189,10542,13063,21547,14749.1,17516.7
30502,29617,9099,25023,17226,90442.5,89698.8
31203,30048,21051,1570,8636,50959.3,50749.1
9458,25967,8456,9405,11531,73097.5,73176.2
29962,26819,7975,10556,7531,59094.7,54611.3
31495,8044,30591,26803,3388,63042.7,63324.9
18915,7450,12319,6272,25791,7838.69,4779
29383,10133,1775,24642,23569,61835,61031
18300,17954,12078,3585,2257,37915.7,35715.8
25333,893,10490,10103,4750,30533.7,29948.8
17233,10722,24271,19611,18990,65168.1,67880.9
30338,21641,23258,19047,2352,72294.9,75575.4
9658,479,25302,32683,18990,127709,123991
10002,15568,4422,16895,6135,77390.5,85013.5
18008,12361,16742,22194,23699,130895,134146
23188,20178,4042,31357,23941,44967.6,44302
1847,7469,16345,4380,31913,67125.9,63507.2
14964,25710,20061,25385,20073,58328.5,61275.2
27504,9462,32703,28102,11069,87148.5,85981.5
5154,3529,31552,32074,19149,41783.5,41954.6
3730,2244,10844,13049,14118,69492.6,70827.2
24065,26363,19552,28773,18470,122269,124803
29731,6747,7511,5869,14398,-6507.25,-6691.81
10498,7103,27352,25679,28053,74692.4,72149.3
13043,14522,31088,1563,25834,116316,114182
9850,17022,7240,21911,9492,61398.4,63759.7
5651,28580,15477,27616,29876,85274.8,87089.9
19178,5220,14615,22348,26798,62252.7,68893.1
32179,31635,16857,2883,1662,-7689.61,-2131.35
18902,28262,19420,19770,19022,40473.1,38891.8
9273,25841,12686,28888,3917,18572.7,21514.8
31717,1892,13698,11267,11749,117082,118607
65,10389,6932,25619,16081,44273,47127.6
2003,29130,13028,18631,14589,15006.6,16256.2
23152,18630,19172,19864,6407,14175.6,15928.6
12295,25428,29681,18490,26610,79851.4,82354.6
26177,31071,25236,6459,20643,98619.9,100051
16840,27633,27037,23893,22630,55028.7,56358
20274,12993,28782,32203,17461,86518.6,86777.1
8290,19662,22307,20997,31151,98245,93885.3
18423,8890,16717,6640,28703,56748.7,57620.8
5566,4883,23661,22659,18245,30788.9,32209.8
20386,32651,32765,19601,16840,29935.1,30726.7
17209,1497,27283,29250,18058,116839,119104
8421,175,30581,26787,3271,47897.1,45978.1
4287,27999,12504,24979,2138,47202,43253.3
10700,530,2461,12118,205,30953.7,29824
7540,18828,24459,11622,14398,134547,134805
3760,27098,12935,10481,30614,81535.8,73709
19567,18493,28596,19161,7746,76989.3,76140.9
10538,7670,20538,21476,21555,98241.9,102126
24917,16371,16760,5752,13758,73151.1,75279.9
15433,32255,29065,726,2401,62137.7,59585.2
3034,12759,10393,30548,27273,58971.1,52624.9
18792,16193,12933,30137,17103,75674.2,72096
3690,28211,13694,24668,32627,100590,100906
7498,989,15248,3879,11647,39557,40984.4
11149,30931,669,30875,25598,80877.8,75881.6
25449,25436,24599,20123,1443,14014.4,19108.5
1731,18154,22861,4434,9385,87300.3,90226.3
23967,10816,11393,16704,29866,51986.9,51126.5
30953,30308,28223,18684,30792,143170,151851
22667,10048,32469,13930,30811,104287,107001
19814,16090,5427,23743,1604,40823.6,40694.2
10599,16474,7195,506,5158,-25069.3,-25495.7
17589,9858,27809,17889,11447,115030,117270
40,3818,9364,17975,26,46096.3,40839.9
25089,2503,30066,26412,6840,54038.5,51811.2
12570,14676,25395,28641,29986,79344,82558.4
17651,21109,8187,20083,21085,70755.9,70483
23390,31250,18686,4755,11381,63526.3,63561.8
28128,25502,24277,30862,26424,81519.9,77862.6
3565,3872,832,30885,14428,43457.9,45887.5
6646,20889,6478,10883,24925,37125,35602.9
21265,31260,5045,20778,5821,49811.3,47528.9
13855,2520,12927,24773,25134,37422.4,38354.8
27251,22675,13336,16334,21001,57284.3,54068.1
2737,9310,5974,7590,20356,1825.74,6518
1071,32080,10935,32145,17282,114072,117694
1825,18718,13573,4712,13037,84857.1,87000.3
4998,9905,7162,1717,8692,71380.6,66713
19539,28047,10946,19103,30231,46944.4,48433.5
24115,839,25858,20829,2645,123920,123359
3394,17199,19645,14272,675,-15397.4,-12048.3
21862,32072,13773,2480,11238,66804.6,68139.8
26897,3542,29608,19203,23277,47404.3,50658.4
6125,20134,1401,9078,18382,69563,70541.7
20169,20736,27478,17939,21138,94947.8,95185
18721,31426,10663,1677,21575,122568,123650
6724,25981,27700,7961,28862,99035.1,99376.2
16002,18448,25095,684,24016,71943.5,74683.9
15137,9507,13993,21284,2944,102539,99997.4
30259,821,7058,24643,17668,122936,123142
10677,119,29857,23041,8891,88458.1,85702.2
25264,1623,6915,8072,17929,72326.2,69789.2
841,4715,17615,12536,14957,72349.8,68581.5
27759,700,13452,5093,24241,83589.5,81093.1
11829,12448,5227,11798,16224,58418.1,60370.7
10324,12274,18133,22885,15038,72425.2,72773
12170,6862,32629,5084,11909,103128,100172
14878,6923,27085,29400,23024,99639.4,101384
14193,23105,9412,15765,5767,53126.7,50287.3
15407,10677,13784,704,14790,36618.2,37290.1
9834,10891,621,18085,27734,77480.5,78908.1
25190,20542,17998,22086,32018,124973,124392
15621,30424,22597,21376,24254,50218.4,51977.4
29669,18108,12927,12493,26068,72160.9,72877.2
6366,9102,2438,12600,10819,64978.4,66566.6
14318,2290,14984,16339,2556,83650.6,80035.4
25808,4632,21478,26814,13787,34105.2,34902.1
7239,28074,25020,10827,2554,80986.4,81372
1988,7441,16798,13642,19002,13561.8,8068.57
16321,30104,13946,7056,18509,24447.6,24611.8
29833,17708,19761,6533,20686,126644,124143
14804,26385,10142,18842,17260,116704,117293
22161,31620,4343,9578,1187,-25715.9,-23851.1
113,13063,4591,5934,20415,74393.6,74932.3
656,29761,25012,28411,11959,62326.2,59311
16251,18738,13370,26124,5507,84290.6,85460.9
8007,17584,10951,23101,14489,32480.1,35755.7
24958,15441,1790,17013,30412,25331.1,26048.7
14855,21060,7093,8472,25402,61928,59685.3
32676,13543,7373,6266,27651,37468.7,44486.9
15275,21528,532,10761,5469,-21686.9,-21348.5
32503,32729,17107,27892,2451,28511.8,29433.9
17953,28392,22570,13519,19472,74191.3,73256.6
23407,22494,9505,28440,20383,99897.2,100734
14262,21409,28607,18038,4360,43648.8,49252.6
5471,11171,20654,29947,11514,83585.3,85892.7
14523,21229,489,6766,17887,23679.3,26119.3
29756,26632,7470,25739,20666,36296,39794.8
8522,7283,8160,17553,24705,85154.9,82200.9
27091,1259,25386,31687,4629,60446.4,66002
42,28317,22045,12356,13388,64489.6,66609.2
25452,3154,30466,11833,27760,48615,45410.3
26919,25631,6738,21267,25776,99444.4,100919
21098,24314,16320,13053,24007,34751.6,38255.1
16469,24216,9722,19842,29007,105750,101585
15463,26260,30947,13793,28630,112501,109751
18717,23043,31376,25314,16626,118597,118020
17117,1334,20620,14171,26792,17455.9,15429.6
8964,19154,18866,14693,30664,141669,136898
23775,13000,12212,21100,7551,110222,108251
25476,6379,10943,17877,3789,18474.6,20024.1
361,11385,8272,11434,15144,67311.8,66826.9
29561,25563,14504,12946,23888,90975.6,96532.8
20308,12157,1430,5123,6464,-21512.2,-20544.5
4074,4346,13837,1981,25318,68393.6,66478.1
26611,16292,17591,3832,27123,133658,133436
6461,16991,31461,27330,28498,153839,153808
17369,17291,8400,14179,24117,67852.4,71193.5
2317,19914,1595,1441,5936,36331.4,35729.1
21867,7028,31453,27909,13973,76693.2,75491.8
17981,11503,26569,6816,1883,81925.2,79649.2
